Date,FX_Market,FX_Carry,FX_Momentum,FX_Value,Commo_Market,Commo_Carry,Commo_Momentum,Commo_Value,Commo_BasisMom,FI_Market,FI_Carry,FI_Momentum,FI_Value,Eq_Market,Eq_Momentum,Eq_Size,Eq_Value,US.SMB,US.HML,US.RMW,US.CMA
1967-07-31,,,,,,,,,,,,,,,,,,,,,
1967-08-31,,,,,,,,,,,,,,,,,,,,,
1967-09-29,,,,,,,,,,,,,,,,,,,,,
1967-10-31,,,,,,,,,,,,,,,,,,,,,
1967-11-30,,,,,,,,,,,,,,,,,,,,,
1967-12-29,,,,,,,,,,,,,,,,,,,,,
1968-01-31,,,,,,,,,,,,,,,,,,,,,
1968-02-29,,,,,,,,,,,,,,,,,,,,,
1968-03-29,,,,,,,,,,,,,,,,,,,,,
1968-04-30,,,,,,,,,,,,,,,,,,,,,
1968-05-31,,,,,,,,,,,,,,,,,,,,,
1968-06-28,,,,,,,,,,,,,,,,,,,,,
1968-07-31,,0.0,0.0,0.0,,-0.004620291397867888,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,-0.012432720604208632,0.06724111145967174,-0.048716931274005934,0.036978988835342216
1968-08-30,,0.0,0.0,0.0,-0.00550356609325124,-0.04537730071570001,0.40648538248629057,0.0,0.4852532345007106,-0.005065730883481733,0.0,0.0,0.0,,0.0,0.0,0.0,0.020740660874550784,0.010960556758954297,-0.009471747701934907,0.00452499592068855
1968-09-30,,0.0,0.0,0.0,0.03434187928619849,0.042774068846227524,0.18129034915838602,0.0,-0.056751562178696605,-0.012343548277525528,0.0,0.0,0.0,,0.0,0.0,0.0,0.026015874476245027,0.003453409712156337,-0.028924353883124452,0.008717987670640305
1968-10-31,,0.0,0.0,0.0,0.1460545143452726,0.03325924259666771,-0.06016787805570308,0.0,-0.06067338228419948,-0.02194534736990268,0.0,0.0,0.0,,0.0,0.0,0.0,-0.004119251252116539,0.033670982586458405,-0.0204898429597935,0.0295169217640358
1968-11-29,,0.0,0.0,0.0,0.0021460787265631534,0.045459473421255045,-0.06281705441471863,0.0,-0.14219145215974416,-0.031839130114596395,0.0,0.0,0.0,,0.0,0.0,0.0,0.023208497651772977,-0.011535930398817998,0.006800405834758153,-0.0264026868448902
1968-12-31,,0.0,0.0,0.0,0.06512784517433282,0.0062408947822156,0.09734307850001402,0.0,0.10128951592071114,-0.07171343277181323,0.0,0.0,0.0,,0.0,0.0,0.0,0.03556332877760488,0.0004890356794232459,-0.03028468009030053,0.020130229026165746
1969-01-31,,0.0,0.0,0.0,-0.016176429682784505,-0.010010078484697031,-0.00562218763024797,0.0,0.001575961000130661,-0.005104341813225456,0.0,0.0,0.0,,0.0,0.0,0.0,-0.004293586644083412,0.02088303096960458,-0.024337100845833095,0.013760225134713876
1969-02-28,,0.0,0.0,0.0,0.0033740605834878053,-0.006966952924569049,-0.006418107005306364,0.0,-0.000680917135337822,-0.012266237958479385,0.0,0.0,0.0,,0.0,0.0,0.0,-0.04292319220651848,0.011450894752784761,0.032474845321998035,0.008216077756625455
1969-03-31,,0.0,0.0,0.0,-0.0056886140549235525,-0.004917243921276042,-0.00034369615073871193,0.0,0.0022604023254222815,-0.007211279672253033,0.0,0.0,0.0,,0.0,0.0,0.0,-0.0048515863607995835,-0.005550051514635389,-0.021363912078323565,-0.004951823100057286
1969-04-30,,0.0,0.0,0.0,0.013792007387360264,-0.0033421842011749667,0.007627686450821818,0.0,-0.011368307868245763,0.018516112422423264,0.0,0.0,0.0,,0.0,0.0,0.0,-0.007528127314319139,0.0002695306313696515,0.004548827439044267,-0.0018395992580428596
1969-05-30,,0.0,0.0,0.0,0.018084034550630117,0.005428254827799343,0.024172156186316424,0.0,0.0016203956584188203,-0.06671505688121421,0.0,0.0,0.0,,0.0,0.0,0.0,-0.001757374605828343,0.008546774336463565,-0.014427146259076828,0.01234571550230116
1969-06-30,,0.0,0.0,0.0,-0.01841257592178889,-0.0001333586944561437,0.004410409632374552,0.0,-0.0071316574546111035,-0.029598094163822624,0.0,0.0,0.0,,0.0,0.0,0.0,-0.05433902953402385,-0.015520308828636135,0.07235701651394078,-0.01959666977627577
1969-07-31,,0.0,0.0,0.0,-0.021811273663794546,0.009541822550464235,-0.015147851386522034,0.0,-0.021115184050368038,0.012358960106991135,0.0,0.0,0.0,,0.0,0.0,0.0,-0.030996512095208345,0.016779494031632338,0.022680371170662458,0.02222033402036767
1969-08-29,,0.0,0.0,0.0,-0.03442729669139628,0.010356040657893925,-0.037365627586944644,0.0,-0.012439031898460793,-0.014222167257430834,0.0,0.0,0.0,,0.0,0.0,0.0,0.005212435105155964,-0.05434708411334733,0.015993124969154043,-0.048762549412882446
1969-09-30,,0.0,0.0,0.0,0.0030595365313667348,9.964349182962846e-05,0.009678585356811546,0.0,0.020608212863700095,-0.06354484094854367,0.0,0.0,0.0,,0.0,0.0,0.0,0.011831019278305705,-0.04374688902105464,0.05132530071154215,-0.007241373121147334
1969-10-31,,0.0,0.0,0.0,0.04567628769410242,0.005007374621694352,0.002518441000846315,0.0,0.015589764693261935,0.04792944219029572,0.0,0.0,0.0,,0.0,0.0,0.0,0.03655310062824497,-0.041031626668039126,0.0011723663594364602,-0.02470181335218888
1969-11-28,,0.0,0.0,0.0,-0.028444694754834417,0.009360766663412795,-0.004273077909669676,0.0,0.0019088034630993635,-0.030383262266382622,0.0,0.0,0.0,,0.0,0.0,0.0,-0.022637888232148018,-0.016069886030105583,0.020906839112355528,0.0024969759901907304
1969-12-31,,0.0,0.0,0.0,0.003356467037795859,0.005666004872195271,-0.0219830625015134,0.0,-0.027984901930272494,-0.057216886512297296,0.0,0.0,0.0,,0.0,0.0,0.0,-0.03471356216486083,-0.0374572415212765,0.038430129959857486,-0.023248398796991556
1970-01-30,,0.0,0.0,0.0,0.02291495582510195,0.018965283393171866,-0.013097689167475517,0.0,-0.01449957866852026,0.010504896227632447,0.0,0.0,0.0,,0.0,0.0,0.0,0.028222231030198164,0.040735546295345426,-0.026094167500537075,0.04812968733701496
1970-02-27,,0.0,0.0,0.0,0.010225225156676026,-0.03266339442175683,0.06678834233642451,0.0,0.011098198392664918,0.06835467162848186,0.0,0.0,0.0,,0.0,0.0,0.0,-0.02371983153686818,0.046674926290749916,-0.03597633374683722,0.034050070888464935
1970-03-31,,0.0,0.0,0.0,-0.0211869815633729,0.02162715849919126,-0.03559832226850315,0.0,-0.05036917431422442,-0.019944817921321956,0.0,0.0,0.0,,0.0,0.0,0.0,-0.02230464100435427,0.05045603656130168,-0.01566845552678748,0.05235547077792878
1970-04-30,,0.0,0.0,0.0,0.0314663045063968,-0.0036838153693821217,0.016869843572442474,0.0,0.018183547439014514,-0.12206668538525493,0.0,0.0,0.0,,0.0,0.0,0.0,-0.05850391343691462,0.07399492621915293,-0.0094172553169785,0.06810794233566028
1970-05-29,,0.0,0.0,0.0,-0.02642282037673665,0.018555960752282916,-0.012092075995970114,0.0,-0.010168132709749367,-0.0024988433546839087,0.0,0.0,0.0,,0.0,0.0,0.0,-0.03902547055192631,0.03740405830937224,-0.01955257239630918,0.041568145483877515
1970-06-30,,0.0,0.0,0.0,0.020345177034796845,-0.0075348851647438556,0.006363616560463679,0.0,0.012646932233463686,0.01647730470786833,0.0,0.0,0.0,,0.0,0.0,0.0,-0.018095728964652825,0.004942928018213927,0.0021403685166213496,0.029553691753829332
1970-07-31,,0.0,0.0,0.0,0.03693199536160757,0.03337976735014377,-0.0031869141531201644,0.0,0.015135420097942696,0.017157954441090518,0.0,0.0,0.0,,0.0,0.0,0.0,-0.005731590024068102,0.010599759921777792,-0.004652595664811041,0.018880906484837045
