Name,Ann. Return (%),Ann. Volatility (%),Sharpe Ratio,Information Ratio,Max Drawdown (%),t-stat
EW Benchmark,3.963015423757743,2.7934260899522427,1.418693495422138,,-8.371912439587636,0.0
BL.CFNAI,7.460890801759179,4.146152837867529,1.7994731727247428,1.1088437765028738,-8.348680953705545,7.561306448759082
BL.Inflation,9.61344770279533,4.470132770070891,2.1505955633266063,1.542217636274335,-8.955444078989272,10.51652216990271
BL.BudgetBal,3.963015423757743,2.7934260899522427,1.418693495422138,,-8.371912439587636,0.0
BL.ShortRate,9.475672426687986,4.642239879220339,2.041185434880935,1.4605359037987624,-9.615849254058906,9.959527015489488
BL.M2Growth,5.116263436839397,3.1801015283092795,1.6088365076694546,0.6848680474854586,-5.480217509306772,4.6701774350333105
BL.EPU,4.3380464878177705,2.9031339204826048,1.4942633053237282,0.4315139286590617,-8.371912439587636,2.9425326819162376
BL.YieldCurve,7.461056988444548,3.9192469862793224,1.9036965556303427,1.204022777339424,-7.775374813777525,8.210340702332305
BL.VIX,5.944806987986717,3.563587751593785,1.6682083906388867,0.833458456381936,-6.789196758398686,5.683428932513101
BL.TED,5.368372705619451,3.3896587503405637,1.5837501946412993,0.7210623031352774,-4.548795647397985,4.916989352503003
BL.SKEW,5.067372458015451,3.2846458017008286,1.5427454781856558,0.6909454339041035,-12.907084680275105,4.711619685143447
BL.LongRate,5.301731375996854,3.2918137040404902,1.6105806259598832,0.6999326430953229,-7.87157272510739,4.772904281092782
BL.Momentum,8.622398044943914,4.4193045925065935,1.9510757551231288,1.1953827695726003,-6.171742724432017,8.151423704438647
BL.Volatility,8.756979354505368,4.41251502791992,1.984577797264398,1.1840111751909186,-9.27265206601402,8.073879769257747
BL.Value,8.504927169091836,4.504556714296337,1.888071947701163,1.2778480175490106,-9.454974692789975,8.713761722233288
BL.FactorSpread,9.005195617993667,4.528646874357559,1.9884958725714637,1.3632915274053878,-13.066132777992268,9.296408778358023
